year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1947, 0.18, 2.89, 10.71, 21.07, 24.37, 29.89, 31.97, 31.29, 26.31, 17.13, 10.38, 5.24, 17.69
1948, 5.76, 8.69, 17.16, 18.91, 22.51, 27.37, 27.85, 28.36, 25.07, 18.56, 11.36, 4.08, 18
1949, 7.01, 11.36, 11.57, 21.72, 21.85, 28.5, 30.36, 29.33, 25.67, 19.16, 10.26, 5.53, 18.55
1950, 3.86, 9.69, 16.13, 16.7, 24.82, 30.51, 33.38, 30.26, 24.69, 17.89, 10.17, 4.65, 18.61
1951, 7.22, 8.86, 11.22, 18.26, 21.16, 28.32, 29.61, 28.84, 25.79, 16.25, 11.93, 5.55, 17.79
1952, 5.1, 6.56, 12.67, 20.14, 24.26, 29.8, 32.63, 29.44, 22.54, 16.07, 9.61, 5.18, 17.86
1953, 3.74, 8.4, 16.28, 19.87, 26.26, 25.28, 30.37, 28.83, 24.04, 17.94, 9.46, 7.75, 18.25
1954, 2.34, 3.82, 12.84, 16.45, 21.51, 26.99, 27.73, 26.4, 24.98, 16.81, 10.46, 7.19, 16.53
1955, 6.05, 7.47, 10.07, 19.66, 22.98, 26.44, 29.36, 27.1, 23.65, 16.84, 9.9, 5.52, 17.13
1956, 4.31, 0.74, 11.34, 15.02, 23.99, 25.1, 28.9, 28.53, 24.41, 16.82, 9.57, 5.33, 16.23
1957, 5.05, 9.19, 14.73, 17.48, 19.96, 26.28, 30.37, 27.89, 23.91, 16.6, 10.96, 4.49, 17.28
1958, 4.74, 10.21, 10.2, 14.42, 25.61, 26.02, 30.03, 29.4, 25.33, 17.56, 11.78, 5.62, 17.62
1959, 5.48, 9.43, 14.16, 18.36, 22.35, 27.67, 31.14, 28.12, 22.94, 15.91, 10.07, 6.51, 17.72
1960, 4.28, 5.56, 12.75, 18.74, 24.64, 27.73, 27.99, 28.14, 22.12, 15.37, 10.75, 6.26, 17.06
1961, 3.43, 12.09, 17.55, 20.62, 22.86, 27.96, 28.92, 30.12, 27.75, 17.88, 10.19, 5.76, 18.78
1962, 6.38, 8.68, 9.58, 18.03, 22.14, 27.13, 30.49, 30.86, 25.07, 17.4, 9.57, 4.61, 17.54
1963, 2.16, 3.31, 11.14, 17.57, 21.96, 25.38, 28.6, 26.65, 22.55, 17.33, 13.31, 4.32, 16.26
1964, 3.88, 9.02, 10.89, 19.27, 24.01, 27.97, 30.47, 28.09, 25.54, 18.03, 11.7, 7.53, 18.05
1965, 6.85, 7.64, 12.22, 18.1, 23.65, 27.42, 27.59, 25.94, 21.18, 17.66, 10.43, 7.27, 17.22
1966, 4.47, 11.85, 17, 22.39, 25.66, 27.93, 26.56, 25.41, 22.96, 17, 7.6, 5.3, 17.87
1967, 4.39, 6.9, 14.76, 16.55, 21.81, 24.77, 29.36, 25.38, 21.79, 18.38, 10.34, 6.07, 16.77
1968, 5.03, 7.35, 14.54, 18.28, 19.63, 23.56, 27.65, 25.03, 22.69, 17.36, 10.53, 4.16, 16.34
1969, 4.04, 4.4, 11.15, 16.47, 23.99, 24.98, 29.45, 27.39, 23.17, 19.3, 10.42, 3.98, 16.64
1970, 4.52, 7.28, 10.18, 16.39, 20.96, 27.21, 29.81, 27.77, 25.22, 17.26, 11.67, 3.64, 16.87
1971, 4.86, 8.9, 9.95, 18.23, 21.47, 24.4, 30.29, 29.94, 23.24, 17.64, 10.59, 6.1, 17.18
1972, 5.19, 8.72, 13.81, 15.9, 21.38, 25.31, 28.1, 27.05, 18.77, 15.35, 10.09, 5.03, 16.25
1973, 5.65, 9.07, 13.55, 15.73, 22.47, 26.91, 28.78, 29.71, 24.79, 17.17, 10.9, 6.79, 17.68
1974, 7.87, 10.16, 12.83, 16.92, 22.16, 26.1, 29.85, 29.99, 23.45, 13.33, 10.15, 8.58, 17.66
1975, 7.67, 9.18, 11.86, 19.22, 22.02, 25.56, 30.82, 27.15, 23.77, 16.75, 9.12, 6.03, 17.47
1976, 6.89, 9.65, 11.62, 18.18, 24.97, 29.33, 30.34, 25.46, 20.39, 16.2, 10.45, 5.63, 17.45
1977, 4.42, 8.68, 14.49, 16.71, 19.33, 25, 27.8, 26.33, 23.41, 17.99, 11.51, 7.14, 16.94
1978, 6.62, 4.88, 12.08, 14.74, 19.59, 25.42, 27, 26.4, 24.83, 17.84, 10.64, 5.43, 16.36
1979, 4.24, 8.17, 12.66, 14.81, 21.97, 26.75, 28.28, 26.78, 23.26, 16.3, 12.15, 8.99, 17.08
1980, 5.52, 9.94, 12.28, 17.47, 19.92, 25.45, 27.59, 29.75, 25.79, 17.64, 8.96, 7.83, 17.36
1981, 7.97, 8.84, 15.95, 18.55, 21.65, 27.24, 27.44, 28.55, 23.43, 17.27, 12.41, 6.52, 18.03
1982, 6.49, 6.78, 13.1, 17.79, 23.17, 28.11, 29.92, 27.49, 26.02, 16.48, 11.38, 7.77, 17.93
1983, 8.88, 6.08, 13.59, 16.79, 20.51, 26.77, 32.13, 28.01, 25.17, 19.33, 11.33, 7.01, 18.04
1984, 6.53, 7.12, 12.32, 17.54, 17.18, 25.65, 30.25, 26.99, 22.97, 17.75, 10.84, 7.5, 16.91
1985, 2.13, 6.88, 11.46, 18.2, 21.04, 25.44, 30.4, 29.06, 26.95, 19.78, 8.83, 8.23, 17.43
1986, 8.05, 5.1, 13.36, 15.86, 26.78, 28.3, 28.85, 27.77, 23.59, 19.68, 12.83, 10.89, 18.51
1987, 7.59, 9.98, 13.77, 21.01, 23.92, 28.06, 32.26, 30.17, 26.9, 16.28, 11.55, 7.97, 19.17
1988, 8.12, 11.14, 15.18, 18.05, 22.8, 25.75, 30.81, 30.28, 25.95, 19.87, 9.92, 8.26, 18.87
1989, 6.59, 11.51, 17.59, 16.09, 24.07, 26.11, 28.96, 29.39, 23.6, 18.1, 10.13, 6.24, 18.24
1990, 6.58, 12.97, 17.72, 16.43, 24.37, 26.49, 29.61, 29.01, 24.42, 18.14, 10.93, 5.7, 18.57
1991, 6.38, 7.09, 15.98, 17.49, 20.25, 26.94, 32.45, 32.29, 27.27, 17.34, 11.3, 7.39, 18.58
1992, 6.38, 9.97, 15.29, 17.25, 23.9, 23.48, 27.89, 30.38, 24.09, 15.36, 12.29, 7.03, 17.8
1993, 7.83, 10.18, 13.41, 17.02, 22.72, 27.91, 27.11, 29.57, 22.22, 16.16, 9.92, 8.17, 17.73
1994, 8.91, 7.61, 17.75, 17.07, 22.27, 25.96, 30.83, 30.82, 22.56, 16.84, 11.73, 7.48, 18.4
1995, 7.06, 10.21, 12.69, 17.86, 21.32, 23.19, 29.99, 27.45, 21.31, 18.87, 11.37, 6.43, 17.36
1996, 5.26, 6.22, 10.78, 17.7, 21.59, 26.98, 26.4, 26.5, 20.61, 17.05, 11.95, 6.98, 16.53
