,IDsensore,DataOra,Misura,Valido
106,8140,2018-01-05 14:00:00.000,8.2,100
107,8140,2018-01-05 15:00:00.000,9.0,100
108,8140,2018-01-05 16:00:00.000,9.0,100
109,8140,2018-01-05 17:00:00.000,7.3,100
110,8140,2018-01-05 18:00:00.000,6.2,100
111,8140,2018-01-05 19:00:00.000,6.3,100
112,8140,2018-01-05 20:00:00.000,6.0,100
113,8140,2018-01-05 21:00:00.000,7.2,100
114,8140,2018-01-05 22:00:00.000,7.5,100
115,8140,2018-01-05 23:00:00.000,7.4,100
116,8140,2018-01-06 00:00:00.000,6.1,100
117,8140,2018-01-06 01:00:00.000,6.0,100
118,8140,2018-01-06 02:00:00.000,6.3,100
119,8140,2018-01-06 03:00:00.000,6.5,100
120,8140,2018-01-06 04:00:00.000,6.7,100
121,8140,2018-01-06 05:00:00.000,6.2,100
122,8140,2018-01-06 06:00:00.000,6.6,100
123,8140,2018-01-06 07:00:00.000,6.4,100
124,8140,2018-01-06 08:00:00.000,6.2,100
125,8140,2018-01-06 09:00:00.000,6.3,100
126,8140,2018-01-06 10:00:00.000,7.9,100
127,8140,2018-01-06 11:00:00.000,7.4,100
128,8140,2018-01-06 12:00:00.000,7.1,100
129,8140,2018-01-06 13:00:00.000,7.2,100
130,8140,2018-01-06 14:00:00.000,7.1,100
131,8140,2018-01-06 15:00:00.000,7.7,100
132,8140,2018-01-06 16:00:00.000,7.9,100
133,8140,2018-01-06 17:00:00.000,6.9,100
134,8140,2018-01-06 18:00:00.000,6.7,100
135,8140,2018-01-06 19:00:00.000,7.0,100
136,8140,2018-01-06 20:00:00.000,8.3,100
137,8140,2018-01-06 21:00:00.000,8.5,100
138,8140,2018-01-06 22:00:00.000,8.5,100
139,8140,2018-01-06 23:00:00.000,7.9,100
140,8140,2018-01-07 00:00:00.000,7.7,100
141,8140,2018-01-07 01:00:00.000,7.8,100
142,8140,2018-01-07 02:00:00.000,8.4,100
143,8140,2018-01-07 03:00:00.000,9.1,100
144,8140,2018-01-07 04:00:00.000,9.6,100
145,8140,2018-01-07 05:00:00.000,9.3,100
146,8140,2018-01-07 06:00:00.000,8.2,100
147,8140,2018-01-07 07:00:00.000,8.7,100
148,8140,2018-01-07 08:00:00.000,9.3,100
149,8140,2018-01-07 09:00:00.000,9.7,100
150,8140,2018-01-07 10:00:00.000,10.3,100
151,8140,2018-01-07 11:00:00.000,10.7,100
152,8140,2018-01-07 12:00:00.000,12.1,100
153,8140,2018-01-07 13:00:00.000,13.2,100
154,8140,2018-01-07 14:00:00.000,11.1,100
155,8140,2018-01-07 15:00:00.000,10.8,100
156,8140,2018-01-07 16:00:00.000,11.2,100
157,8140,2018-01-07 17:00:00.000,11.4,100
158,8140,2018-01-07 18:00:00.000,10.6,100
159,8140,2018-01-07 19:00:00.000,9.8,100
160,8140,2018-01-07 20:00:00.000,9.9,100
161,8140,2018-01-07 21:00:00.000,10.5,100
162,8140,2018-01-07 22:00:00.000,9.8,100
163,8140,2018-01-07 23:00:00.000,9.6,100
164,8140,2018-01-08 00:00:00.000,9.9,100
165,8140,2018-01-08 01:00:00.000,10.3,100
166,8140,2018-01-08 02:00:00.000,10.3,100
167,8140,2018-01-08 03:00:00.000,9.7,100
168,8140,2018-01-08 04:00:00.000,9.7,100
169,8140,2018-01-08 05:00:00.000,10.5,100
170,8140,2018-01-08 06:00:00.000,11.1,100
171,8140,2018-01-08 07:00:00.000,11.0,100
172,8140,2018-01-08 08:00:00.000,10.4,100
173,8140,2018-01-08 09:00:00.000,10.6,100
174,8140,2018-01-08 10:00:00.000,11.1,100
175,8140,2018-01-08 11:00:00.000,11.8,100
176,8140,2018-01-08 12:00:00.000,12.3,100
177,8140,2018-01-08 13:00:00.000,12.8,100
178,8140,2018-01-08 14:00:00.000,12.2,100
179,8140,2018-01-08 15:00:00.000,12.2,100
180,8140,2018-01-08 16:00:00.000,12.1,100
181,8140,2018-01-08 17:00:00.000,11.9,100
182,8140,2018-01-08 18:00:00.000,11.2,100
183,8140,2018-01-08 19:00:00.000,11.2,100
184,8140,2018-01-08 20:00:00.000,11.3,100
185,8140,2018-01-08 21:00:00.000,11.7,100
186,8140,2018-01-08 22:00:00.000,12.2,100
187,8140,2018-01-08 23:00:00.000,11.5,100
188,8140,2018-01-09 00:00:00.000,11.2,100
189,8140,2018-01-09 01:00:00.000,10.8,100
190,8140,2018-01-09 02:00:00.000,9.8,100
191,8140,2018-01-11 01:00:00.000,6.1,100
192,8140,2018-01-12 14:00:00.000,10.3,100
193,8140,2018-01-12 15:00:00.000,10.0,100
194,8140,2018-01-12 16:00:00.000,9.2,100
195,8140,2018-01-12 17:00:00.000,7.3,100
196,8140,2018-01-12 18:00:00.000,4.5,100
197,8140,2018-01-12 19:00:00.000,3.5,100
198,8140,2018-01-12 20:00:00.000,3.0,100
199,8140,2018-01-12 21:00:00.000,3.0,100
200,8140,2018-01-12 22:00:00.000,2.7,100
201,8140,2018-01-12 23:00:00.000,2.5,100
202,8140,2018-01-13 00:00:00.000,2.6,100
203,8140,2018-01-13 01:00:00.000,3.6,100
204,8140,2018-01-13 02:00:00.000,3.2,100
205,8140,2018-01-13 03:00:00.000,2.5,100
206,8140,2018-01-13 04:00:00.000,2.7,100
207,8140,2018-01-13 05:00:00.000,2.4,100
208,8140,2018-01-13 06:00:00.000,2.2,100
209,8140,2018-01-13 07:00:00.000,2.3,100
210,8140,2018-01-13 08:00:00.000,2.6,100
211,8140,2018-01-13 09:00:00.000,3.4,100
212,8140,2018-01-13 10:00:00.000,3.6,100
213,8140,2018-01-13 11:00:00.000,4.3,100
214,8140,2018-01-13 12:00:00.000,7.1,100
215,8140,2018-01-13 13:00:00.000,9.0,100
216,8140,2018-01-13 14:00:00.000,9.3,100
217,8140,2018-01-13 15:00:00.000,8.9,100
218,8140,2018-01-13 16:00:00.000,8.2,100
219,8140,2018-01-13 17:00:00.000,6.5,100
220,8140,2018-01-13 18:00:00.000,3.9,100
221,8140,2018-01-13 19:00:00.000,2.5,100
222,8140,2018-01-13 20:00:00.000,2.1,100
223,8140,2018-01-13 21:00:00.000,2.0,100
224,8140,2018-01-13 22:00:00.000,1.9,100
225,8140,2018-01-13 23:00:00.000,1.7,100
226,8140,2018-01-14 00:00:00.000,1.6,100
227,8140,2018-01-14 01:00:00.000,1.5,100
228,8140,2018-01-14 02:00:00.000,1.4,100
229,8140,2018-01-14 03:00:00.000,1.2,100
230,8140,2018-01-14 04:00:00.000,1.0,100
231,8140,2018-01-14 05:00:00.000,1.0,100
232,8140,2018-01-14 06:00:00.000,2.0,100
233,8140,2018-01-14 07:00:00.000,2.0,100
